name,types,count_review,grade,price,platforms,developer,tags,date_release
Madness,Action Games,(47 reviews),,10 pуб.,хз,Indie Games Studio,"Action,Adventure,RPG,Casual,Indie,2D,Pixel Graphics,Action-Adventure,2D Platformer,Atmospheric,Linear,Singleplayer","22 Nov, 2016"
FOS,RPG Games,(333 reviews),Very Positive,15 pуб.,хз,Enoops,"Free to Play,RPG,Adventure,Indie,Action,Pixel Graphics,Casual,Multiplayer,2D","16 May, 2020"
Swordbreaker The Game,"Indie Games,DuCats Games Franchise",(266 reviews),Very Positive,90 pуб.,хз,DuCats Games Studio,"Adventure,Indie,Interactive Fiction,Visual Novel,Choices Matter,Dark Fantasy,Exploration,Medieval,2D,Gore,Fantasy,Point & Click,Comedy,Dungeon Crawler,Replay Value,Atmospheric,Aliens,Magic,Funny,Singleplayer","6 Nov, 2015"
ZIC – Zombies in City,Action Games,(30 reviews),Positive,29 pуб.,хз,IO Games,"Shooter,FPS,Action,Zombies,Multiplayer,Co-op Campaign,Online Co-Op,Co-op,First-Person,Adventure,Voxel,Post-apocalyptic,Action-Adventure,Story Rich,Survival,Horror,Indie,Violent,Blood,Singleplayer","23 May, 2019"
Valand,Strategy Games,(31 reviews),Mostly Positive,156 pуб.,хз,LOMS Studio,"Simulation,Action,City Builder,Life Sim,RTS,Real Time Tactics,Third-Person Shooter,Top-Down Shooter,3D,Third Person,Military,War,Historical,Nature,Swordplay,Medieval,Archery,Tactical,Economy,Management","4 Nov, 2022"
For the People,"Indie Games,101XP Franchise",(535 reviews),Mostly Positive,174 pуб.,хз,Brezg Studio,"Choose Your Own Adventure,Visual Novel,Political Sim,Time Management,Tactical RPG,Casual,Strategy,Political,Choices Matter,First-Person,2D,Noir,Multiple Endings,Management,Story Rich,Point & Click,Simulation,Dystopian,Atmospheric,Adventure","13 Aug, 2020"
Gun Done,Casual Games,(533 reviews),Very Positive,15 pуб.,хз,AZAMATIKA,"Casual,Indie,Western,Pixel Graphics,Memes,Arcade","13 Jun, 2016"
Weable,"Action Games,Valkyrie Initiative Franchise",(182 reviews),Mostly Positive,15 pуб.,хз,SPECTRUM GAMES,"Action,Indie,Casual,2D,Top-Down","23 Aug, 2017"
ШХД: ЛЕТО / IT'S SUMMER,Indie Games,(21 reviews),Mostly Positive,,хз,ИЛЬЯМАЗО,"Simulation,Sandbox,6DOF,Exploration,Open World,1990's,Emotional,Choose Your Own Adventure,Retro,Singleplayer,3D,Atmospheric,Story Rich,Cooking,Modern,Perma Death,Indie,Physics",Jun 2021
Antarctica 88,Adventure Games,(115 reviews),Very Positive,123 pуб.,хз,Euphoria Games,"Horror,Survival Horror,FPS,Exploration,Hidden Object,Shooter,Arcade,Action RPG,First-Person,Psychological Horror,Action,Puzzle,Realistic,Lovecraftian,Sci-fi,Adventure,Atmospheric,Dark,Singleplayer,Indie","14 Aug, 2020"
Starship Annihilator,Action Games,(96 reviews),,9 pуб.,хз,IR Studio,"Indie,Action,Shoot 'Em Up","2 Sep, 2016"
Life is Hard,Strategy Games,(320 reviews),,"349,60 pуб.",хз,Pirozhok Studio,"Strategy,Indie,Simulation,Adventure,Early Access,Pixel Graphics,Medieval,Atmospheric,2D,God Game,Economy,Addictive,City Builder,Survival","14 Aug, 2021"
